"response_id","link_to_system","task","suspicious_element","personal_impact"
20,"https://www.temu.com/","i was just shopping for charms","it kept saying buy it soon or else its out","yes. i went to temu to browse, but was quickly overwhelmed by pop-ups, fake discount timers, and product bundles added to my cart without my explicit permission. it made me question what i was actually purchasing, and i felt pressured to make quick decisions that i wasn't prepared to make."
22,"android phone, galaxy s20, spotify app","join my brothers family plan","friday april 11th at 12:24pm: my brother got the spotify family plan which can hold up to 6 accounts, which is what ive been paying for myself for a long time. i used to have 4 or 5 slots filled but its just been me for a while and so to cut costs i decided to join my brother on his plan. he sent me the invite link, i signed in successfully, spotify verified the address but then it goes to a screen that says ""sorry, a problem has occurred, try again later"". i tried a few times in a row, a few more times an hour later, and even got the invite link resent, and always the same results. my conspiracy mind thinks that its on purpose because if everyone flocks to a family plan, spotify loses theoretically millions or billions of revenue, because premium for one person is i think 15 bucks and family plan is 22 bucks for 6 people.","it is preventing me from cutting my bill costs, and convincing me that they are doing it on purpose so they dont care about letting me make full use of their features, they care more about money"
23,"amazon prime subscription/cancellation process","cancel an amazon prime subscription","whenever you try to cancel a subscription for amazon prime, they flash a ""deal"" for amazon prime in your face, to get you to not cancel. furthermore, they show three different interface buttons, all the same shape and color, but the last one is the one that continues with the cancellation, while the other two do not. also, the cancellation button isn't labeled ""cancel subscription"", but is simply ""continue"", which may confuse first-time users.","this pattern hinders what i want to accomplish by making the task more tedious, unnecessary, and drawn-out."
25,"ticketmaster (www.ticketmaster.com)","i was trying to look at ticket pricing for a concert (crankdat at wamu seattle)","hidden costs: the ticket was $55 + additional fees, but you are only able to see additional fees when trying to check out, which increased total to $79.95.","since i already have experience with ticketmaster i wasn't too surprised with the additional fees. however, it is still frustrating to see that price and only able to see how much the additional fee is at checkout. it feels like they are trying to make the price seem lower than it actually is, but experienced users know better. it is probably more of an issue to someone newer."
26,"outlook junk email, no link","i was just checking my junk email","the email seemed really fake, even though it's from a trusted company.","not necessarily, but it made me trust the company a bit less."
35,"device-less day","stay in nature","nothing","we spent the day i nature completely disconnected from tech, with the exception of the car and phone for basic navigation and music which presented no problems"
36,"plugged zone ad on youtube","simply watching a youtube video","the ad i saw didn’t look real (ai voice, how it was presented), and the website that i accidentally clicked the link to looked less convincing, showing photos of toy puppies and real puppies","it did hinder my time to watch videos"
37,"technically google, but it was a news website that showed up on my google discover feed (android phone)","look at news about a new game","when i had pressed the back button to leave the page, it redirected me to a different page rather than to the google discover feed, hitting the back button again sent me to yet another page on this news website","not achieving and hindering what i want to accomplish."
38,"solidcore website https://www.solidcore.co/","i was looking at new client specials for workout classes.","the bold price said $89 and $59, but the real total cost ($98.61 and $65.37) was hidden in small text. also, information about late cancellation fees was not clearly displayed upfront.","it made me feel less certain about the real price and whether i would be charged more if i missed a class. i had to spend extra time searching for the cancellation policy."
39,"gmail on my android phone","look at my emails","an email that claimed that i was sent an invoice for 400+ dollars. it claimed that i had made a large purchase (i had not) from a paypal account that i do not have and demanded repayment in bitcoin.","undue emotional labor"
44,"microsoft office - word","disable microsoft's opt-out ai training using user writing in word.","the setting to opt-out/disable the ai training is hidden under several different settings windows, either two or three depending on which path you take to reach the privacy settings, and even then, it's not clearly labeled as ""opt-out/disable permissions for ai training"" or something understandable. instead, it's labeled as ""optional connected experiences"", and finding out what that even means requires going through another portal to a ""learn more"" page.","hindering what i wanted to accomplish. costing me more time and effort than desired. ambiguity."
46,"https://www.pacsun.com/womens/tops/","i was just browsing the shop online for summer outfits.","a lot of the tops had ""selling fast"" on it, or even ""your favorite"" when i wasn't even logged into my account.","it did make me a little confused when saying ""your favorite"". i was wondering when i favorited the items."
49,"turbo tax","file my taxes","it kept bringing me to a screen throughout the process that asked me to update my plan and it was hard to find the button that took me back to what i was trying to do","it hindered what i was trying to accomplish and cost me more time then needed"
50,"https://us.shein.com/","i was trying to purchase a few clothing items and check out with a discount i saw advertised on the homepage.","the homepage had a countdown timer claiming a sale was ending soon, but when i revisited hours later (and even the next day), the timer restarted.

the homepage had a countdown timer claiming a sale was ending soon, but when i revisited hours later, the timer restarted.","hours later (and even the next day), the timer restarted.

yes, it cost me more time trying to figure out what discounts were real and if the return insurance was optional."
51,"express scripts https://www.express-scripts.com/frontend/consumer/#/","look at an order that should have just been scheduled","the information is wildly different between the app and the website, the app says it's still waiting for a refill and says nothing about an estimated delivery date, while the website says that it should be delivered on the 23rd and gives me an order number. the app also lists the costs as ""$n/a"", which could either be because insurance is paying all of it, or it hasn't been processed, but it doesn't tell me which.","this makes me less confident that i have the correct information about a very important and expensive delivery."
54,"sirius xm","cancel my subscription","they raised my price to almost $40/month. i tried to cancel online but couldn't figure out how to. then i called to cancel and got transferred to a couple different people who eventually lowered the price to $4/month for the next year if i didn't cancel and said it was a ""limited time offer"".","i have been doing this for at least the past 5 years now. whenever i see that the subscription cost goes that high i call to cancel and get the same deal. i always take the deal and then forget about it for the next couple years. then when i realize they hiked the prices, i'm not sure how long i have been paying the higher price."
57,"msn news article: https://www.msn.com/en-us/money/careersandeducation/i-m-a-recruiter-who-was-headhunted-by-apple-here-s-how-i-optimized-my-linkedin-profile-for-maximum-visibility/ar-aa1bkxxm?ocid=msedgntp&pc=asts&cvid=757035f48f324f07bdfa1772ebb2ae0c&ei=12","i was just scrolling through the articles microsoft edge shows on the first tab, and i found an article that could help me in my internship hunt about optimizing linkedin profiles","the article was completely about the writer being recruited by apple because of her linkedin, but she subtly notes that she was laid off half a year later. that made it seem like she knew everything there was to know about job hunting since she got recruited by apple.","it just made me question if i should take this person's advice on optimizing profiles, but i would say the advice positively impacted me even if it was partially untrue."
59,"target circle","if customers are signed up for target circle, occasional pop-ups on the register would appear to ask if they want to add an offer, the common is “if you buy 2 consecutive purchases of $80 or more, you get $15 in target circle rewards”","the catch is that the total applies before tax is added, and many customers think the total on their screen means they get the deal, but when the receipt goes through, nothing happened, so they demand an explanation","i don’t buy a lot often, but it can feel redundant to explain what the deal is and what’s the catch behind achieving the total amount"
61,"offerup, samsung galaxy s20","get rid of a mini fridge for free","i have used offerup to buy and post things for sale or for free many many times in the past, it is typically extremely easy to get rid of stuff for cheap and especially for free. theyve had paid services for a long time now which basically gets your product to be seen more often and to a wider audience, but they claim that for the first day or something, us freemium users automatically have our listings shown on a premium level. i listed a fully functional and free mini fridge, and its a good size too! i have not gotten a single hit about it though, and i feel like theyre purposefully not showing free listings anymore to pressure people into paying for the service. its just night and day compared to what ive been used to with the service. even just listing things, anything! as 10% cheaper always used to result in immediate hits, mostly with counteroffers at the 10% cheaper level, and if i ever listed anything as free, i would always be overwhelmed with a flood of messages. now its pure radio silence.","made my distrust offerup"
62,"udemy website https://www.udemy.com/","i was checking prices for udemy courses for a subscription plan.","udemy heavily advertised a free trial (""try it free"") without clearly showing how long the free trial is or when they would start billing me. also, there was a countdown timer suggesting urgency to buy now.","it made me unsure whether i would be charged immediately or later. i had to search for more information before making a decision."
63,"classpass website https://www.classpass.com/","i was trying to sign up for a 14 day free trial to book fitness classes.","the site advertised ""14 days free,"" but you only get 22 credits, and most classes cost way more. some classes cost 50+ credits, so you can't actually take unlimited classes for 14 days. this limit was not clearly shown up front.","it made me feel misled about what i was signing up for. i had to search for more details about how many classes i could actually take. i lost trust in the free trial offer."
64,"https://www.alexanderwang.com/us-en/?utm_source=google&utm_medium=cpc&utm_campaign=us%20-%20brand%20-%20alone%20-%20exact&utm_term=alexanderwang&utm_content=brand%20-%20alone%20-%20exact&tp=97228&utm_term=newarrivalslp&gad_source=1&gbraid=0aaaaad1pkwroftlcexujzrujqz-gonu5o&gclid=cjwkcajw5pk_bhbbeiwal7gtprzezxxxjbk_fjozppqlbahiaj31ofkqwvmqrkxhgytjotahk-bw1xoc90sqavd_bwe","i was browsing on the clothing brand website alexander wang and encountered an ""error not found"" when it clearly stated that the particular shirt was in stock.","i tried looking for the same piece in a different browser and it was available.","i was confused and lost some confidence in their website."
65,"temu","i was interested in wether it was really a legit shop or not","the prices were suspiciously low","i was curious if temu was really as reliable as it seemed, so i began checking it out. instead of a clear and honest experience, i found some design tricks that made me feel uneasy. the website used confusing layouts and buttons that seemed meant to push me into making decisions quickly—without giving me all the facts. this made me doubt whether temu was being completely upfront or just trying to keep me from realizing potential issues. in short, encountering these patterns made me more cautious and led me to do extra research before deciding to trust the site."
67,"linkedin job post: https://www.linkedin.com/jobs/view/4208418452","i was looking for summer internship opportunities when i found a posting listed a couple hours ago that i clicked on.","the post said it was remote in the united states, but the actual title of the post said it was actually onsite in another state.","it hindered my goal of applying to this internship because i don't want to go to minnesota for an internship."
73,"youngla.com","buy gym shirts from the website","had a ""low stock - only 13 shirts remaining"" under the price, probably to incentivize user buying quick and have a sense of urgency.","nah, it didn't affect me at all."
74,"hulu – https://www.hulu.com","i was trying to cancel my hulu subscription.","they gave me five different pages to go through, asking “are you sure?”, offering multiple deals, and making it confusing to find the final cancel button.","yes, it wasted my time and made me question whether i had actually canceled it. i even reopened the page to double-check it was gone."
75,"safeway","i was attempting to buy some mustard and was checking the prices.","on a sign below the mustard, it was priced at $1.99 (displayed in a large font), which i thought was reasonable. however, upon closer examination, i found a much smaller font that showed that the non-member price was actually $2.39.","fortunately, it did not cost me anything, as i was already a member, but i could see it tricking someone else into buying the product."
77,"pacsun.com","looking at clothing to buy","the page includes red text showing 500 views in the past 24 hours","not really"
79,"tiktok mobile app","open my phone home screen, and eventually open the app","the app showed that i had three notifications, upon opening the app it actually only had one thing to notify me of. i know for a fact that it will slowly increase the number of ""unread notifications"" (it doesn't actually send a notification) despite not having anything new to notify users of.","untruthfully made me think something had happened"
82,"https://www.escapefromtarkov.com/preorder-page/","i was trying to buy a game.","page look normal","yes, it made me unsure whether the purchase went through properly. even though the page looked normal, i didn’t get a confirmation or clear feedback, which made me feel frustrated and unsure if i should try again. it ended up costing me extra time trying to double-check things."
84,"true religion 
truereligion.com","checking phone notifications on marketing texts.","they are always having sales and sending multiple texts a day about sales ending or items running low. they also know what items i have been looking at specifically and sends a message referencing that hoodie. they track my activity to increase pressure.","the pattern doesn't bother me too much because i am aware of how their marketing works, so i don't really fall for the pressure. however, the constant notifications got annoying so i had to mute it. i still check the notifications here and there to check up on deals to see if there's anything worth not missing, but most times i ignore the notifications and don't feel affected."
87,"tiktok","i was just scrolling through tiktok","i kept seeing really misleading ads for tiktok shop","tricked me in to investigating the tiktok shop product which i found out was a scam so wasted my time"
88,"youtube","watch a youtube video","youtube reapplied the auto play feature without me doing it myself","just made me a little frustrated"
92,"https://www.amazon.com/","buy a single item (a phone charger) without signing up for any subscriptions.","during checkout, amazon automatically selected the subscribe & save option for recurring deliveries. the ui made this option look more prominent, while the one-time purchase was smaller and less visible. it felt like they were intentionally pushing me into a recurring charge.","yes, it made me double-check that i wasn’t accidentally subscribing. it wasted time and created unnecessary friction. if i wasn’t careful, i would’ve unknowingly signed up for something i didn’t want. this kind of manipulation breaks trust."
93,"hulu, chromecast","watch shows ad-free","april 14th, 2025: i pay extra to be able to watch hulu ad free. i started this subscription ad-on many months ago. slowly but surely they started throwing ads into the shows i watch on there, at first there was an explanation, something about how certain types of shows didnt qualify. now i have tons of ads sprinkled into every single show i watch, and im still paying for ad-free.","im frustrated because im paying money for absolutely nothing at this point, and the only reasons why i havent removed the subscription add-on is because im afraid that i will be bombarded with way more ads."
95,"linkedin: https://www.linkedin.com/","i was looking for internships like always when i noticed a part of the linkedin sidebar had an interesting offer.","i didn't fully notice it until now, but linkedin always has a part of the sidebar on the right that says ""yaried, unlock your full potential with linkedin premium."" it sounded like my profile wasn't good already.","it made me less confident in my linkedin profile because i don't currently use linkedin premium, so their wording made it seem like i wasn't doing the best i could on my internship hunt."
96,"email","going through my emails","a person keeps sending me emails saying i have received  money and to click on the link, multiple times over random stuff","if i clicked on the link it could potentially harm me in some way"
97,"geometry dash game","there was an ad where it required me to play the game in order to close the game.","it allowed me to play the game, but in the end, when the game was over, the “buy game” button would suddenly appear and would require me to click it","it made me have less trust in iphone games that pop up ads with other games on it. made me not what to play anymore"
98,"temu – https://www.temu.com","i was browsing for deals on tech accessories.","every product i clicked had a different price than what was shown on the homepage. also, a spin-the-wheel game popped up and wouldn't let me close it easily.","yes, it made it confusing to tell what the real price was. i spent more time than expected just navigating the app and closing the popups."
99,"it was an email i was trying to unsubscribe from","trying to unsubscribe from an email list i don’t even remember signing up for","super hard to cancel, the unsubscribe button was almost transparent","it was just a pain in the butt to get off the list"
102,"sub way surfers (game)","i was trying to simply play the game and take a break from hw","i saw an ad and it said to click the screen to play which i assumed meant to try the game out in the ad but when i clicked the screen it took me to the app store.","cost me time and effort that i didn't need to put in. i was tricked in to going to the app store and viewing the games details"
103,"app.xtensio.com, xtensio","find a customer persona template to use for an assignment in my css 370 class","it asked me to create a free account with my email and i figured out later in the day that it automatically subscribed me to their website because i started getting a lot of emails.","hindered what i wanted to accomplish made me complete unnecessary steps to find a template. also costed me time because i had to go back and unsubscribe which was a long process on its own"
105,"ebook central https://ebookcentral.proquest.com/lib/washington/detail.action?docid=1584420&pq-origsite=primo","read a chapter out of a textbook","the page lists a number of pages left for ""copy"". i assume this means copying pages, but it could easily be read as pages of your digital copy you can read, or pages you can copy parts off of.","it makes me concerned and confused"
106,"cleat.elite.shop","buying soccer cleats","the products are extremely cheap","the website giving false information to viewers"
107,"boxlunch.com (https://www.boxlunch.com/product/arcane-jinx-baseball-jersey---boxlunch-exclusive/32467637.html)","keeping tabs on an item that is on presale but hasn't been released yet.","dialogue boxes along in the bottom edge of the product pictures, giving dialogue such as ""viewed 46 times since your last visit 1 day ago"" and ""selling fast! last sold 30 minutes ago"".","(potentially?) false sense of urgency, desirability"
108,"ticketmaster (ticketmaster.com)","purchase tickets for a show","ga tickets are listed at $55, but additional fees bring up the cost of tickets by almost $25 each.","more money than anticipated"
114,"email","checking my email","a random person keeps emailing me about money and to click on a link","it potentially could have"
115,"https://www.pacsun.com/","i was trying to use the search bar to search for a clothing item","there's just a bunch of links you click on under the search with different ""limited time"" sales, like 50% off or $19 and up or %70 off markdowns, etc.","i think it hindered what i wanted to accomplish and sidetracked me; i appreciate a good sale, but they've had these sales up for quite a while, it doesn't really seem limited time or that urgent."
117,"amazon
amazon.com","browsing deals on amazon","a hp 2025 laptop sold by a third party seller listed the laptop as being 70 percent off and 91% claimed. the original price was $2599.99.","not really because i know how these sale tactics work. plus i was just browsing for fun. however, i did notice how they were creating urgency with the countdown and 91% claimed already."
120,"clash of clans","looking at an event that is going on in the game.","in the event, you need to collect a certain amount of gold to gain rewards. however, while the rewards are evenly placed upon the progress bar, the amount of gold needed to get from each reward was considerably larger than what would be implied with the distance between the rewards. for example, it starts from 15 million to 50 million gold, while at the end of the bar, it goes from 500 million to 1.6 billion, which is an astronomical increase.","it didn't impact me all that much in the end besides making me think the event would be easier to complete. i presume that it may manipulate people into spending more time into completing the event as they may think it is not too difficult to complete."
125,"grammarly: https://www.grammarly.com/plans","using grammarly when the plans option popped up.","the paid plan (pro option) showed 12 usd crossed off and saying try for free with a $0.00 green button. once you click to proceed, it shows three billing options all saying $0.00, indicating that the membership is free. if you continue with one of the ""free billing options"" it brings you to a payment page still saying $0.00 usd but if you look closely in small gray font there is the actually yearly billing that says $144.00/year charged after 7-day trial.","this design encounter did not affect or impact me in any way, although it was interesting to spot."
126,"xfinity - https://www.xfinity.com/, home internet","consistenly the wifi drops, trying to get a technician to come to my house to fix the issue","the xfinity helpline number was not available in the app, forcing you to go through an ai assistant that loops forever, and only getting a real person after saying “human assistant” a bunch of times which takes a long time. it looks like they’re intentionally making it hard to reach real help.","hindering what you wanted to accomplish and costing you more time, money, or effort than anticipated/desired; ; 
it was a problem because my wi-fi wasn’t working, and i couldn’t get any real help to fix it. i needed to talk to a human, but the app just kept looping me through an ai assistant with no clear way to reach someone. since i rely on the internet to do my work, being stuck like that wasted my time. the whole setup felt intentionally confusing, just when i needed a solution the most. such situations should have immediate technician response like i have experienced in other countries and should be a hassle."
127,"etsy https://www.etsy.com/listing/4381179019/the-purge-inspired-halloween-costume-set?ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=halloween+costume&ref=sr_gallery-1-13&sr_prefetch=1&frs=1&cns=1&nob=1&content_source=8ccbc058-9ad8-4ceb-a027-90d50779c8c7%253alt3a0fa6317f4eb43d3f5d39333e1bc5dc5b651a5d&organic_search_click=1&logging_key=8ccbc058-9ad8-4ceb-a027-90d50779c8c7%3alt3a0fa6317f4eb43d3f5d39333e1bc5dc5b651a5d","looking for a halloween costume","it states the amount in stock which seems normal but it states how many people have it in their carts which i think is inflated as it the same amount in stock & demand for each size.","forcing me to decided soon if i want this costume or not."
128,"https://www.telecomdatasettlement.com/","check if i am applicable for this class action lawsuit","it asked for my account number(which was a little suss, but makes sense) and then it asked for my address. it also didn't provide many details about how and why i needed to provide it.","possible consequences could be that people might have access to my information, but since it's a class action lawsuit about data theft it's unlikely to be insecure."
129,"clash royale: https://supercell.com/en/games/clashroyale/","i was trying to check the daily shop to see if there were any free items or cards available.","the daily shop is placed below a bunch of in-app purchase offers that take up most of the screen. every time i open the shop, i have to scroll past the large and colorful purchase buttons for bundles, chests, and season passes. the purchase buttons are big and close to where i tap to scroll, so it’s really easy to almost make an in app purchase by accident.","it made me frustrated because i almost spent money multiple times while just trying to check something free. i thought that this design felt intentional, like the game wants to trick players into buying something that they didn't mean to."
132,"uber eats","trying to cancel uber one","it was tricky to find a cancel subscription button","i eventually found it, but if i were not used to this kind of trick, i would not be able to cancel my subscription."
133,"instagram app","scrolling through my feed","i got an ad for a meal prep subscription on instagram when i searched up meal prep recipes on tiktok","it feels that i was being sold a quick solution to something i was resolving myself."
136,"youtube, https://www.youtube.com/","watch a video","having to watch two ads, even though there no indication that there is a second ad when watching the first.","hindered me watching a video"
137,"amazon online shopping ""https://www.amazon.com""","i was jut looking at my membership","i bought a membership for entire year via the auto renewal (i never signed up for it).","yeah, i was annoyed that my money got used without my knowledge (this happened 3 months ago)"
138,"chatgpt
https://chatgpt.com/","i was trying to ask chatgpt the names of some music terms that i could only describe in very vague detail that is ungoogleable, on my phone.","i wasn't logged in because i was on my phone and i haven't logged in on my phone, but the text box you have to tap to start typing is in the exact same spot as the log in button, which takes a second to appear. so i went to start typing, and the moment i tapped the text box, the login popup appeared and i clicked on that accidentally instead, which took me to another page to log in or create an account. they want me to be logged in in order to more properly get data off me, and used ui placement to get me to a page where i might go ""well i'm already here, might as well log in/make an account""","it did the most unforgivable crime - rob me of about 3 seconds of my day. but it did add a slight amount of effort to using it, because after going back to the main page i needed to actively wait for the login popup to show up, hit the tiny close button on that, and then i could ask my question. it wasn't a major hurdle, but it was mildly annoying."
142,"musescore (https://musescore.com/dashboard)","i was looking for piano sheet music.","the banner at the top promoting a heavy discount sale. although, every time i've been on the website there has been a heavy discount sale, so i think the website is repeatedly using a timed sale to make people rush to buy what they're selling.","it did not affect me in any way, but it made me curious about the sale, so maybe a slight cost of time."
143,"cinemark, https://www.cinemark.com/","trying to use gift card balance remaining","it would not show me my gift card on the cinemark desktop version, like qr code or the card number; it forced me to download their app in order for me to look at the qr code and card number or to use it in person","hindering what you wanted to accomplish and costing you more time, money, or effort than anticipated/desired;"
144,"tiktok app","scrolling through for you page","there were creators that were selling a certain vitamin that has been flooding my  for you page and there was a small message under the caption that said “creator earns commission”","it stopped me from scrolling further on the for you page because everything seems heavily monetized and it’s hard to trust that people are being genuine about the effects of a vitamin."
146,"name: youtube (title of video: ""10 things you should be buying at costco in october 2025"")
link: https://www.youtube.com/watch?v=yrc5z8jqube","i was watching youtube videos and a video about the top 10 things you should buy at costco during october came up so i watched it.","the video almost felt like it was an ad and it made me question if the youtuber was getting paid for promoting those items. in the video, the youtuber even mentions that he doesn't even own some of the said items, so i questioned why it ""should be"" something we should buy if he doesn't even own it himself.","it made me skeptical of whether the youtuber truly thought those items were good or if he was just saying it so that he could benefit from it."
147,"ticket master https://www.ticketmaster.com/doja-cat-tour-ma-vie-world-seattle-washington-10-15-2026/event/0f00633add435829","buying a ticket for the doja cat tour","hidden fee (club fee) and the highly recommended ticket insurance","costing me an extra 60 making me unsure if i want to continue"
152,"youtube ad, don't have have the exact url.","watching a video.","the ads (political, product promotion, etc.) was obviously ai. basically ads were famous people (ai) talking about.","no, i could tell they were ai, but they are annoying to see."
153,"paypal","check balance","app asked to set up credit","the experience hindered what i was trying to accomplish. i had to decline the offer twice before i could view my balance."
156,"not sure to the specific service, but at restaurants where they present you with the giant buttons to tip 18, 20, or 22 percent and no button for 0 percent, and a smaller less legible button for a custom amount.","pay for my ramen after eating ramen at kizuki.","the preset 18, 20, and 22 percent buttons are massive and high contrast, so one may assume that those are the only options. there's a smaller button that's lower contrast to tip a specific amount, and you may notice that, but it's not obvious that you can tip nothing at all if you just don't hit any of the buttons. but it's consistent whenever you go to a restaurant in seattle, and it doesn't negatively impact you if you know you can just not tip. i tip anyway because i feel bad if i don't, i don't know how much of that is me or the fact that the tip buttons are massive and the person you're tipping is right there in front of you.","it didn't really negatively impact me, i probably would have tipped anyway. at worst it cost me $2, but that's it."
157,"duolingo","i was trying to quit a lesson in the duolingo app","when you are trying to quit the lesson, the ""keep learning"" button is placed on top and much bigger than the quit button which is small and under that button","this is hindering what i wanted to accomplish which was to quit the lesson and i have accidentally pressed on the ""keep learning"" button before"
159,"onlyfans
https://onlyfans.com/onlyfans","subscribe for a month to someone who was having a massive sale this month ($3.75), but is normally quite expensive ($20)","when you subscribe, it automatically sets you up for auto-renewal, and it's not immediately clear how to disable that. you have to hit the ""unsubscribe"" button, which to a user may seem like you're cancelling what you already paid for, but in actuality it's how to set it so you aren't charged again in a month.","if i didn't know how to unsubscribe, i could be losing $20 per month without realizing it for potentially a long time, because i don't go on onlyfans very often."
160,"name: instagram (account name: gkikz)
link: instagram.com","i was just scrolling through instagram to watch reels","as i was scrolling through instagram reels, an ad popped up about fur jackets from a company called gkikz. i read the description section and it said ""warning: last chance! fur jackets flying off the shelves! 30% off + extra 15% with code ads15 limited sizes remaining... will you get yours?"" after i saw that description, i immediately took a screenshot and knew it was a ux dark pattern. for fun, i clicked on the ""shop now"" button on the ad to pretend to buy the jacket, and saw a clearance deal countdown under the ""add to cart"" button. when i added the jacket to my cart, a pop up saying ""item in your cart is only reserved for 7:24 (countdown timer) due to limited stock!"". when i clicked checkout, the price which was originally in usd changed into eur which i thought was confusing.","not really because it was just a random ad about jackets which wasn't even my style so i wouldn't have bought it anyways. since i was just mindlessly doomscrolling and am used to seeing ads, it didn't really impact or affect me."
161,"princess polly https://us.princesspolly.com/collections/new?src=rakuten&utm_source=rakuten&utm_campaign=pubshoplooks&ranmid=44648&raneaid=3360653&ransiteid=50rqorvy53q-fzrfxhey6okiou6s2e0waq&src=rakuten","browse clothes","spin wheel discount popup. looks like you have the chance to win a range of discounts but i believe that every user receives the same discount. then, to claim you must input your email.","less certainty that i have mitigated undesirable consequences"
164,"youtube https://www.youtube.com/","skip an ad","when i went to click the skip button, instead of doing what i expected and resuming my video, it instead popped up with another page for downloading the advertised app.","in the end this was a minor inconvenience, but it stalled what i wanted to accomplish and forced me to spend more time looking at the ad."
173,"amazon online-amazon.com","nothing just noticed on my back account that i have been spending couple of dollars on random purchase from amazon.","i never bought anything from amazon but i was getting charged for something (amazon video/music).","it was annoying, i had to disable to auto renew on something that i never used or signed up for,"
178,"duolingo","do my lesson","the duolingo mascot uses parasocial relationship pressure to try to get me to buy the premium version","not really"
183,"spotify premium","cancel spotify premium and switch to apple music","no","hindering what i wanted to accomplish. the site kept asking for confirmation in multiple steps. it took 3 confirmation screens to reach the cancel button."
184,"https://www.xfinity.com/digital/offers/plan-builder","i was looking at what plans xfinity offers","in the plan options, there was a recommended highlight on some of the plans, which can influence the users decision in thinking that the highlighted plan was the best/popular option when it could have just been a dark pattern strategy.","no"
185,"email ad","tried to unscribe the email ad","the unscribe button was hidden and hard to find","hard to unsribe the ad"
193,"hertz: hertz.com.tw","i tried to enter this website to see some car rental information","if i don't press any button (accept or decline), i can not continue to use the website, and there is no option to ""ignore"" or ""close"".","hindering what you wanted to accomplish;"
