"Timestamp","Your name as it appears in Canvas  (Will be anonymized before incidents are shared with the class)","Did you have any interactions today that you suspect might involve a UX Dark Pattern ?","If you reported ""yes"" or ""unsure"" please answer the following questions.

Name and link to the system or service","What were you trying to do?","What was suss?","Did encountering this pattern impact you in any way?  Please explain. 

(Examples of possible impacts include but are not limited to:  
-not achieving what you want to accomplish; 
-hindering what you wanted to accomplish; 
-costing you more time, money, or effort than anticipated/desired; 
-less confidence or less certainty that you have achieved your aim 
-less confidence or less certainty that you have mitigated undesirable consequences; 
-undue emotional labor; 
-possible consequences for others; 
and so on.)","Based on your personal feelings at this time, please mark the degree of concern you have about this incident. 

No concern (1) 
Mild concern (2) 
Moderate concern (3) 
High concern (4) 
Extreme concern(5)","Images or video of a problematic interaction are very helpful for analysis. Did you capture any images or video of the interaction you are reporting on?  (We will reach out when the collection period is concluded to collect.)","Which UX Dark Patterns do you think might be involved (if any)? (Check all that apply)   

Patterns are from Appendix A of  2022 US FTC Staff Report ""Bringing Dark Patterns to Light""","Anything else?","If you have screenshots or other documentation, you can upload  to 10 files of 100 MB in size via one submission."
"4/11/2025 21:43:35","fab0fd443492790d8040a1561d694f15","No",NA,NA,NA,NA,NA,"No",NA,NA,NA
"4/11/2025 22:08:47","51bc70a8f0bc3ceef47efb8c541aecf5","Unsure","Abercrombie & Fitch (https://www.abercrombie.com/shop/us/p/essential-baby-tee-56537321?categoryId=6570723&faceout=model&seq=31&afsource=social+proofing)","I was scrolling through instagram, when the ad showed up.","This “1585 people are currently viewing” thing is likely fake urgency, disguised as helpful info. It’s suspicious UX because it plays on your emotions rather than offering real, useful data.","I feel like it created false urgency.",2,"Yes","Social Proof (False activity messages, Deceptive consumer testimonials, Deceptive celebrity endorsements, Parasocial relationship pressure), Scarcity (False low stock message, False high demand,)",NA,NA
"4/11/2025 22:30:58","5012b3d9073da72ad6e4adf3216c2b62","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/11/2025 22:35:27","5411b0bcb49f05550d4c934741480c17","Yes","Coach Outlet 
https://www.coachoutlet.com/shop/women/view-all
","Browsing hand bags to possibly purchase as a gift.","They list a discount price but it has been that price for weeks. It shows the price now, the comparable price, and the percentage off. It creates a false sense of getting a deal when it's probably just normal price.","It made me question the deal and made me question if I should wait to buy it since it might not actually be on sale.",3,"Yes","Urgency (Baseless countdown timer, False limited time message, False discount claims), Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)","They could be more transparent by telling us what the comparable value meant or show us the price history.",NA
"4/11/2025 22:48:51","8e092ec9b89b7103c2359d4abc744d1a","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/11/2025 23:13:24","4d56a052dd9ec2545fba57307a85f15b","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/11/2025 23:50:27","7f56650e38a07b0307aae53f55465586","No",NA,NA,NA,NA,NA,NA,NA,"I thought I may have came across a dark pattern, but it was in fact not a dark pattern, so I didn't come across anything.",NA
"4/11/2025 23:57:09","7c28193f03a672189dda946626935b7f","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/12/2025 0:08:40","ed05e399d513e9979361fc70084ae303","No",NA,NA,NA,NA,NA,NA,NA,"Sorry, this was meant for Friday the 11th, but it slipped from my mind.",NA
"4/12/2025 0:09:30","6d1dcfc2d156a7456434b55a937e76b9","Yes","https://www.temu.com/","I was just shopping for charms","It kept saying buy it soon or else its out","Yes. I went to Temu to browse, but was quickly overwhelmed by pop-ups, fake discount timers, and product bundles added to my cart without my explicit permission. It made me question what I was actually purchasing, and I felt pressured to make quick decisions that I wasn't prepared to make.",3,"Yes","Urgency (Baseless countdown timer, False limited time message, False discount claims), Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich), Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)","The constant pop-ups and time pressure felt manipulative, not helpful.",NA
"4/12/2025 10:33:48","52a282701a15892730e7f826c74c0949","No",NA,NA,NA,NA,NA,NA,NA,"No",NA
"4/12/2025 10:47:53","5e850c5b2164e8603dea6da18cfe6419","Yes","android phone, galaxy s20, spotify app","join my brothers family plan","friday April 11th at 12:24pm: my brother got the Spotify Family Plan which can hold up to 6 accounts, which is what ive been paying for myself for a long time. i used to have 4 or 5 slots filled but its just been me for a while and so to cut costs i decided to join my brother on his plan. he sent me the invite link, i signed in successfully, spotify verified the address but then it goes to a screen that says ""sorry, a problem has occurred, try again later"". i tried a few times in a row, a few more times an hour later, and even got the invite link resent, and always the same results. my conspiracy mind thinks that its on purpose because if everyone flocks to a family plan, spotify loses theoretically millions or billions of revenue, because premium for one person is i think 15 bucks and family plan is 22 bucks for 6 people.","it is preventing me from cutting my bill costs, and convincing me that they are doing it on purpose so they dont care about letting me make full use of their features, they care more about money",2,"No","false errors preventing account transitions",NA,NA
"4/12/2025 12:35:15","ad5203c3dffa671aa1b432bbcae965c8","Yes","Amazon Prime Subscription/Cancellation Process","Cancel an Amazon Prime subscription","Whenever you try to cancel a subscription for Amazon Prime, they flash a ""deal"" for Amazon Prime in your face, to get you to not cancel. Furthermore, they show three different interface buttons, all the same shape and color, but the last one is the one that continues with the cancellation, while the other two do not. Also, the cancellation button isn't labeled ""Cancel Subscription"", but is simply ""Continue"", which may confuse first-time users.","This pattern hinders what I want to accomplish by making the task more tedious, unnecessary, and drawn-out.",2,"No","Obstruction (Price comparison prevention, Roadblocks to cancellation, Immortal accounts)","No.",NA
"4/12/2025 19:06:13","4d56a052dd9ec2545fba57307a85f15b","Unsure","Email",NA,"Yes, a random person sent me multiple emails asking me to click on the link saying that they will give me money. What is stranger to me is that there was no link to an organization and it was just a persons name.","It honestly made me confused because of the link, and if I had clicked it on it, I could have had some kind of loss.",2,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Making you click on a link that could potentially be harmful",NA,NA
"4/12/2025 21:13:34","5411b0bcb49f05550d4c934741480c17","Yes","Ticketmaster (www.ticketmaster.com)","I was trying to look at ticket pricing for a concert (Crankdat at Wamu Seattle)","Hidden costs: The ticket was $55 + additional fees, but you are only able to see additional fees when trying to check out, which increased total to $79.95.","Since I already have experience with TicketMaster I wasn't too surprised with the additional fees. However, it is still frustrating to see that price and only able to see how much the additional fee is at checkout. It feels like they are trying to make the price seem lower than it actually is, but experienced users know better. It is probably more of an issue to someone newer.",3,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)","You click on the $55 ticket and then it leads you to a page to select the quantity is where you will see the $55 + fees in smaller print, but at the bottom, the subtotal is larger. When you hit next to checkout is when you are able to see the additional feels. And there is also a 10 minute check out timer, which all pressures you into paying the fees.",NA
"4/12/2025 21:49:16","7f56650e38a07b0307aae53f55465586","Unsure","Outlook junk email, no link","I was just checking my junk email","the email seemed really fake, even though it's from a trusted company.","not necessarily, but it made me trust the company a bit less.",1,"Yes","Social Proof (False activity messages, Deceptive consumer testimonials, Deceptive celebrity endorsements, Parasocial relationship pressure), Urgency (Baseless countdown timer, False limited time message, False discount claims)",NA,NA
"4/12/2025 22:00:15","ebd6f1c3b996944dae36a1cb3d57d4f9","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/12/2025 22:02:16","e084c1a6a1bf55da63003a87e0be9919","No",NA,NA,NA,NA,NA,"No",NA,NA,NA
"4/12/2025 22:34:43","fab0fd443492790d8040a1561d694f15","No",NA,NA,NA,NA,NA,"No",NA,NA,NA
"4/12/2025 22:40:20","51bc70a8f0bc3ceef47efb8c541aecf5","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/12/2025 22:49:37","e94283a9999414873bbe32414e2ea914","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/12/2025 23:02:53","eebb41618d019775c4a84d577c6f74ab","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/12/2025 23:26:43","944adb58eba16be3107cc80dacfdf810","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/12/2025 23:30:10","06d3072d93fc75ea32a19bfe29a6e3ff","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/12/2025 23:38:53","5e850c5b2164e8603dea6da18cfe6419","No","device-less day","stay in nature","nothing","we spent the day i nature completely disconnected from tech, with the exception of the car and phone for basic navigation and music which presented no problems",1,NA,"nature was bliss","disconnect more often!",NA
"4/12/2025 23:39:58","5012b3d9073da72ad6e4adf3216c2b62","Yes","Plugged Zone ad on Youtube","Simply watching a YouTube video","The ad I saw didn’t look real (AI voice, how it was presented), and the website that I accidentally clicked the link to looked less convincing, showing photos of toy puppies and real puppies","It did hinder my time to watch videos",1,"No","Social Proof (False activity messages, Deceptive consumer testimonials, Deceptive celebrity endorsements, Parasocial relationship pressure), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"4/12/2025 23:57:26","ed05e399d513e9979361fc70084ae303","Yes","Technically Google, but it was a news website that showed up on my Google discover feed (Android phone)","Look at news about a new game","When I had pressed the back button to leave the page, it redirected me to a different page rather than to the Google discover feed, hitting the back button again sent me to yet another page on this news website","Not achieving and hindering what I want to accomplish.",2,"No","Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)","Several websites do the first misdirect, but this was the first website ever to do a second misdirect to me.",NA
"4/12/2025 23:58:50","886a1f7d4ddf80bb83ed8dcd5bf2d771","Yes","Solidcore Website https://www.solidcore.co/","I was looking at new client specials for workout classes.","The bold price said $89 and $59, but the real total cost ($98.61 and $65.37) was hidden in small text. Also, information about late cancellation fees was not clearly displayed upfront.","It made me feel less certain about the real price and whether I would be charged more if I missed a class. I had to spend extra time searching for the cancellation policy.",2,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)","NO",NA
"4/13/2025 0:02:14","ed05e399d513e9979361fc70084ae303","Unsure","Gmail on my Android phone","Look at my emails","An email that claimed that I was sent an invoice for 400+ dollars. It claimed that I had made a large purchase (I had not) from a PayPal account that I do not have and demanded repayment in Bitcoin.","Undue emotional labor",4,"Yes","Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)","I don't think I've ever received a scam email quite like this",NA
"4/13/2025 0:04:56","19fc85fa33a55276017f141140af6290","No",NA,NA,NA,NA,NA,NA,NA,"I waited this long to submit this because I expected to run into a dark pattern, but I didn't use any new software and I either don't notice any dark patterns in the stuff I use or didn't run into any",NA
"4/13/2025 0:25:59","7c28193f03a672189dda946626935b7f","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/13/2025 0:28:47","8e092ec9b89b7103c2359d4abc744d1a","No",NA,NA,NA,NA,NA,NA,NA,"I have been working up at Snoqualmie Pass all day the past couple days and haven't interacted with any technology. I will make some extra entries to make up for it in the next few days.",NA
"4/13/2025 9:48:18","52a282701a15892730e7f826c74c0949","No",NA,NA,NA,NA,NA,NA,NA,"This is for day 2, sorry I couldn’t do the form yesterday night, so I am doing it now in the morning of day 3",NA
"4/13/2025 10:46:35","ad5203c3dffa671aa1b432bbcae965c8","Yes","Microsoft Office - Word","Disable Microsoft's opt-out AI training using user writing in Word.","The setting to opt-out/disable the AI training is hidden under several different settings windows, either two or three depending on which path you take to reach the privacy settings, and even then, it's not clearly labeled as ""Opt-out/disable permissions for AI training"" or something understandable. Instead, it's labeled as ""Optional connected experiences"", and finding out what that even means requires going through another portal to a ""Learn more"" page.","Hindering what I wanted to accomplish. Costing me more time and effort than desired. Ambiguity.",3,"No","Obstruction (Price comparison prevention, Roadblocks to cancellation, Immortal accounts), Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)","No.",NA
"4/13/2025 11:31:36","6d1dcfc2d156a7456434b55a937e76b9","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/13/2025 12:21:39","7f56650e38a07b0307aae53f55465586","Yes","https://www.pacsun.com/womens/tops/","I was just browsing the shop online for summer outfits.","A lot of the tops had ""selling fast"" on it, or even ""your favorite"" when I wasn't even logged into my account.","It did make me a little confused when saying ""your favorite"". I was wondering when I favorited the items.",2,"Yes","Scarcity (False low stock message, False high demand,), Urgency (Baseless countdown timer, False limited time message, False discount claims)",NA,NA
"4/13/2025 13:16:25","0d1b57fb4af743669e4533ea524b9bc3","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/13/2025 18:26:48","e084c1a6a1bf55da63003a87e0be9919","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/13/2025 19:39:37","06d3072d93fc75ea32a19bfe29a6e3ff","Unsure","turbo tax","file my taxes","it kept bringing me to a screen throughout the process that asked me to update my plan and it was hard to find the button that took me back to what i was trying to do","it hindered what i was trying to accomplish and cost me more time then needed",2,"No","Obstruction (Price comparison prevention, Roadblocks to cancellation, Immortal accounts), Asymmetric Choice (Trick questions, Confirm shaming, Preselection, Subverting privacy preferences)",NA,NA
"4/13/2025 20:29:03","6d1dcfc2d156a7456434b55a937e76b9","Yes","https://us.shein.com/","I was trying to purchase a few clothing items and check out with a discount I saw advertised on the homepage.","The homepage had a countdown timer claiming a sale was ending soon, but when I revisited hours later (and even the next day), the timer restarted.

The homepage had a countdown timer claiming a sale was ending soon, but when I revisited hours later, the timer restarted.","hours later (and even the next day), the timer restarted.

Yes, it cost me more time trying to figure out what discounts were real and if the return insurance was optional.",4,"No","Social Proof (False activity messages, Deceptive consumer testimonials, Deceptive celebrity endorsements, Parasocial relationship pressure), Scarcity (False low stock message, False high demand,), Urgency (Baseless countdown timer, False limited time message, False discount claims), Obstruction (Price comparison prevention, Roadblocks to cancellation, Immortal accounts), Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich), Asymmetric Choice (Trick questions, Confirm shaming, Preselection, Subverting privacy preferences)",NA,NA
"4/13/2025 21:05:01","19fc85fa33a55276017f141140af6290","Unsure","Express Scripts https://www.express-scripts.com/frontend/consumer/#/","Look at an order that should have just been scheduled","The information is wildly different between the app and the website, the app says it's still waiting for a refill and says nothing about an estimated delivery date, while the website says that it should be delivered on the 23rd and gives me an order number. The app also lists the costs as ""$N/A"", which could either be because insurance is paying all of it, or it hasn't been processed, but it doesn't tell me which.","This makes me less confident that I have the correct information about a very important and expensive delivery.",2,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)","There's a very high chance that, for whatever reason, the app hasn't updated. This wouldn't make any sense, since it should be an automated system, but the weekend could have something to do with it. If this is a glitch or unintentionally out of date, I'm not sure it would really be a dark pattern because it doesn't benefit them at all and isn't intentional.",NA
"4/13/2025 21:26:00","ebd6f1c3b996944dae36a1cb3d57d4f9","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/13/2025 22:09:49","51bc70a8f0bc3ceef47efb8c541aecf5","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/13/2025 22:31:00","8e092ec9b89b7103c2359d4abc744d1a","Yes","Sirius XM","Cancel my subscription","They raised my price to almost $40/month. I tried to cancel online but couldn't figure out how to. Then I called to cancel and got transferred to a couple different people who eventually lowered the price to $4/month for the next year if I didn't cancel and said it was a ""limited time offer"".","I have been doing this for at least the past 5 years now. Whenever I see that the subscription cost goes that high I call to cancel and get the same deal. I always take the deal and then forget about it for the next couple years. Then when I realize they hiked the prices, I'm not sure how long I have been paying the higher price.",2,"No","Urgency (Baseless countdown timer, False limited time message, False discount claims), Companies offering deals to keep customers from cancelling subscriptions because they are counting on the customers not noticing when they raise the price again.",NA,NA
"4/13/2025 22:31:59","7c28193f03a672189dda946626935b7f","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/13/2025 22:42:03","944adb58eba16be3107cc80dacfdf810","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/13/2025 23:04:55","e94283a9999414873bbe32414e2ea914","Yes","MSN news article: https://www.msn.com/en-us/money/careersandeducation/i-m-a-recruiter-who-was-headhunted-by-apple-here-s-how-i-optimized-my-linkedin-profile-for-maximum-visibility/ar-AA1BKXxM?ocid=msedgntp&pc=ASTS&cvid=757035f48f324f07bdfa1772ebb2ae0c&ei=12","I was just scrolling through the articles Microsoft Edge shows on the first tab, and I found an article that could help me in my internship hunt about optimizing LinkedIn profiles","The article was completely about the writer being recruited by Apple because of her LinkedIn, but she subtly notes that she was laid off half a year later. That made it seem like she knew everything there was to know about job hunting since she got recruited by Apple.","It just made me question if I should take this person's advice on optimizing profiles, but I would say the advice positively impacted me even if it was partially untrue.",1,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/13/2025 23:31:09","5411b0bcb49f05550d4c934741480c17","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 0:12:41","5012b3d9073da72ad6e4adf3216c2b62","Unsure","Target Circle","If customers are signed up for Target Circle, occasional pop-ups on the register would appear to ask if they want to add an offer, the common is “If you buy 2 consecutive purchases of $80 or more, you get $15 in Target Circle Rewards”","The catch is that the total applies BEFORE tax is added, and many customers think the total on their screen means they get the deal, but when the receipt goes through, nothing happened, so they demand an explanation","I don’t buy a lot often, but it can feel redundant to explain what the deal is and what’s the catch behind achieving the total amount",2,"No","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/14/2025 0:33:37","eebb41618d019775c4a84d577c6f74ab","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 0:42:33","5e850c5b2164e8603dea6da18cfe6419","Yes","Offerup, samsung galaxy s20","get rid of a mini fridge for free","i have used OfferUp to buy and post things for sale or for free many many times in the past, it is typically extremely easy to get rid of stuff for cheap and especially for free. theyve had paid services for a long time now which basically gets your product to be seen more often and to a wider audience, but they claim that for the first day or something, us freemium users automatically have our listings shown on a premium level. i listed a fully functional and FREE mini fridge, and its a good size too! i have not gotten a single hit about it though, and i feel like theyre purposefully not showing free listings anymore to pressure people into paying for the service. its just night and day compared to what ive been used to with the service. even just listing things, ANYTHING! as 10% cheaper ALWAYS used to result in IMMEDIATE hits, mostly with counteroffers at the 10% cheaper level, and if i ever listed anything as free, i would always be overwhelmed with a flood of messages. now its pure radio silence.","made my distrust Offerup",2,"No","making listings from a free account significanstly less visible to pressure into paying for premium services",NA,NA
"4/14/2025 11:03:10","886a1f7d4ddf80bb83ed8dcd5bf2d771","Unsure","Udemy Website https://www.udemy.com/","I was checking prices for Udemy courses for a subscription plan.","Udemy heavily advertised a free trial (""Try it free"") without clearly showing how long the free trial is or when they would start billing me. Also, there was a countdown timer suggesting urgency to buy now.","It made me unsure whether I would be charged immediately or later. I had to search for more information before making a decision.",3,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/14/2025 11:08:11","886a1f7d4ddf80bb83ed8dcd5bf2d771","Yes","ClassPass Website https://www.classpass.com/","I was trying to sign up for a 14 day free trial to book fitness classes.","The site advertised ""14 days free,"" but you only get 22 credits, and most classes cost way more. Some classes cost 50+ credits, so you can't actually take unlimited classes for 14 days. This limit was not clearly shown up front.","It made me feel misled about what I was signing up for. I had to search for more details about how many classes I could actually take. I lost trust in the free trial offer.",4,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"4/14/2025 11:10:32","2186fd860a968607fbd1b33bd5ffbc69","Yes","https://www.alexanderwang.com/us-en/?utm_source=google&utm_medium=cpc&utm_campaign=US%20-%20Brand%20-%20Alone%20-%20Exact&utm_term=alexanderwang&utm_content=Brand%20-%20Alone%20-%20Exact&tp=97228&utm_term=newarrivalslp&gad_source=1&gbraid=0AAAAAD1pKWroFTLcExujZRUJQZ-GonU5o&gclid=CjwKCAjw5PK_BhBBEiwAL7GTPRZeZXXxJbk_FjOzppqLbaHiaj31OFKqWVmqRkxhgYtJoTahk-Bw1xoC90sQAvD_BwE","I was browsing on the clothing brand website Alexander Wang and encountered an ""error not found"" when it clearly stated that the particular shirt was in stock.","I tried looking for the same piece in a different browser and it was available.","I was confused and lost some confidence in their website.",3,"No","Scarcity (False low stock message, False high demand,), said low stock, not that it's gone.",NA,NA
